Comment,Designator,Footprint,LCSC Part #
0.05,R5 R6,R2512,
1M,R20 R33,R0402,C25741
1SMA4753A,Z3,DIOM5226X220N,C362284
1k,R4,R0402,
1k,R11 R12 R36,R0603,C22975
1uF,C3,C1206K,
1uF,C8,C0805K,C440198
1uF,C20,C0603K,C14663
1uF,C22,C0402,C440198
1uF,C26 C27 C29 C32,C0603K,C440198
1uF,C36,C1206K,
2.2k,R22,R0805,
2.2nF,C17,C0603K,
2k,R34,R0603,C22975
4.7k,R9,R0603,C22975
10,R2 R3 R7 R8,R0805,
10k,R18 R19 R32,R0402,C25779
10uF,C9,C0603K,C440198
10uF,C11,C0805K,C440198
10uF,C14,C0603K,C440198
10uF,C21,C0805K,
10uF,C23 C24 C28 C30 C31 C33,C0603K,
10uF,C34,C0805K,
10uF,C35,C0603K,C440198
15k,R15,R0603,
20k,R26 R27 R28 R29 R30,R1206,
22k,R13,R0603,C31850
100,R16 R17,R1206,
100 pF,C19 C25,C0402K,C1546
100k,R23 R24 R25,R1206,
100nF,C10 C15,C0402,C440198
330,R21,R0805,
470,R10,R0603,C22975
470k,R14,R0603,C25811
470pF,C16 C18,C0603K,
510,R37 R38,R2512,
560,R31,R0603,C4177
820,R35,R0603,
AP2120N-5.0TRG1,VR2,SOT95P240X120-3N,
C1812C274KCRACAUTO,C4 C5,C1812,
ES5G,D10 D11,DIOM5336X265N,
GRN,13.75V,CHIPLED_0805,C72043
LM317,VR1,DPACK,
LQH5BPN6R8NT0L,L2 L3,LQH5BPB100MT0L,
MCP14A0304T-E_SN,IC1,SOIC127P600X175-8N,
ME3116,IC3 IC4,SOT95P280X100-6N,C97643
MURB1060CT,D1 D2 D3 D4,STB20N95K5,
NXE2S1205MC-R13,PS1,NXE2S1205MCR13,
OVK151M1VTR-10131,C1 C2 C12 C13,16SVF1000M,
RED,5VLED HVLED,CHIPLED_0805,
SCHOTTKY,D5 D7,DIOM5127X229N,C22452
SM4007PL,D8 D9,SOD3716X145N,C64898
STB130N6F7,Q1 Q2,D2PAK,
TPTP13R,GATE1_TP GATE2_TP,TP13R,
UCC38083DR,IC2,SOIC127P600X175-8N,
US1M,D6,DIOM5127X229N,
VOL617A-4X001T,OPT1,SOP254P1015X230-4N,
cl431,IC5,SOT95P237X112-3N,
