Removed Pin From Net: NetName=CELL1 Pin=J1-M
Removed Pin From Net: NetName=CELL1 Pin=J1-M
Removed Pin From Net: NetName=CELL1 Pin=J1-M
Removed Pin From Net: NetName=CELL1 Pin=J1-M
Removed Pin From Net: NetName=CELL1 Pin=J1-M
Removed Pin From Net: NetName=CELL3 Pin=J2-M
Removed Pin From Net: NetName=CELL3 Pin=J2-M
Removed Pin From Net: NetName=CELL3 Pin=J2-M
Removed Pin From Net: NetName=CELL3 Pin=J2-M
Removed Pin From Net: NetName=CELL3 Pin=J2-M
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mm New=0.762mm
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mm New=0.762mm
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mm New=0.762mm
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mm New=0.762mm
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mm New=0.762mm
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mm New=0.762mm
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mm New=0.762mm
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mm New=0.762mm
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mm New=0.762mm
PCB-ECO: Change Pad Pin/Pkg Length: Old=0mm New=0.762mm
