Altium Designer Pick and Place Locations
C:\Users\user\Nextcloud\PC-SYNC\Projects\_source_codes\_all_git_repos\ramptastic\ramptronix\bms_mainboard_2\Project Outputs for BMS_MAINBOARD\Pick Place for BMS_MAINBOARD_2.csv

========================================================================================================================
File Design Information:

Date:       11/03/22
Time:       17:29
Revision:   736399daa2a93238565e9a7e802fba027638aa1a
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"J1","KS18650X2-SMT","TopLayer","KS18650X2-SMT","85.0000","141.0000","0","J - JACK - SMT Battery Holder 18650X2 Cells","85.0000","141.0000","75.5000","100.0000"
"R_STBY2","0402WGF1002TCE","BottomLayer","R_0402","92.5000","119.4000","180","R - RESISTOR - SMD - 10k - 1% - 0402","92.5000","119.4000","93.0080","119.4000"
"R_STBY1","0402WGF1002TCE","BottomLayer","R_0402","90.1000","119.4000","180","R - RESISTOR - SMD - 10k - 1% - 0402","90.1000","119.4000","90.6080","119.4000"
"SW_WAKE","TS-1187A-C-C-B","BottomLayer","TS-1187A-C-C-B","80.0000","156.2000","180","SW - SWITCH - SPST - NO - Top Actuated Surface Mount","80.0000","156.2000","82.9500","158.0500"
"R_WK","0402WGF1000TCE","BottomLayer","R_0402","105.5000","122.0000","180","R - RESISTOR - SMD - 100R - 1% - 0402","105.5000","122.0000","106.0080","122.0000"
"R_Q18G","0402WGF1002TCE","BottomLayer","R_0402","77.4000","152.6000","360","R - RESISTOR - SMD - 10k - 1% - 0402","77.4000","152.6000","76.8920","152.6000"
"LED_1A","19-21UYC/S530-A4/TR8","TopLayer","D_0603","55.8000","141.8000","360","D - LED - 0603 - Yellow (Sodium)","55.8000","141.8000","55.1000","141.8000"
"LED_3A","19-21UYC/S530-A4/TR8","TopLayer","D_0603","55.8000","155.8000","360","D - LED - 0603 - Yellow (Sodium)","55.8000","155.8000","55.1000","155.8000"
"LED_2A","19-21UYC/S530-A4/TR8","TopLayer","D_0603","55.8000","148.8000","360","D - LED - 0603 - Yellow (Sodium)","55.8000","148.8000","55.1000","148.8000"
"D10","N4148WS","BottomLayer","SOD-323","103.3000","120.9000","270","D - DIODE - FAST TRR - 100V - 150mA - 4ns","103.3000","120.9000","103.3000","122.0000"
"RDS_6","0402WGF0000TCE","BottomLayer","R_0402","63.8000","162.9000","270","R - RESISTOR - SMD - 0R - 1% - 0402","63.8000","162.9000","63.8000","163.4080"
"RDS_5","0402WGF0000TCE","BottomLayer","R_0402","63.8000","168.7000","270","R - RESISTOR - SMD - 0R - 1% - 0402","63.8000","168.7000","63.8000","169.2080"
"R104","0402WGF0000TCE","BottomLayer","R_0402","70.6000","128.4000","270","R - RESISTOR - SMD - 0R - 1% - 0402","70.6000","128.4000","70.6000","128.9080"
"R103","0402WGF0000TCE","BottomLayer","R_0402","71.7000","128.4000","270","R - RESISTOR - SMD - 0R - 1% - 0402","71.7000","128.4000","71.7000","128.9080"
"NT_CSHORT","0","BottomLayer","NET_TIE","109.1500","166.9000","360","R - Net Tie","109.1500","166.9000","108.9500","166.9000"
"RT_0b","0402WGF1002TCE","BottomLayer","R_0402","105.3000","164.3000","90","R - RESISTOR - SMD - 10k - 1% - 0402","105.3000","164.3000","105.3000","163.7920"
"RT_1B","0402WGF1002TCE","BottomLayer","R_0402","104.7000","162.2000","90","R - RESISTOR - SMD - 10k - 1% - 0402","104.7000","162.2000","104.7000","161.6920"
"RT_2B","0402WGF1002TCE","BottomLayer","R_0402","104.1000","164.3000","90","R - RESISTOR - SMD - 10k - 1% - 0402","104.1000","164.3000","104.1000","163.7920"
"RT_3B","0402WGF1002TCE","BottomLayer","R_0402","103.3000","162.2000","90","R - RESISTOR - SMD - 10k - 1% - 0402","103.3000","162.2000","103.3000","161.6920"
"RT_4B","0402WGF1002TCE","BottomLayer","R_0402","102.6000","164.3000","90","R - RESISTOR - SMD - 10k - 1% - 0402","102.6000","164.3000","102.6000","163.7920"
"RT_5B","0402WGF1002TCE","BottomLayer","R_0402","101.9000","162.2000","90","R - RESISTOR - SMD - 10k - 1% - 0402","101.9000","162.2000","101.9000","161.6920"
"RT_6B","0402WGF1002TCE","BottomLayer","R_0402","101.2000","164.3000","90","R - RESISTOR - SMD - 10k - 1% - 0402","101.2000","164.3000","101.2000","163.7920"
"RT_7B","0402WGF1002TCE","BottomLayer","R_0402","100.5000","162.2000","90","R - RESISTOR - SMD - 10k - 1% - 0402","100.5000","162.2000","100.5000","161.6920"
"RT_8B","0402WGF1002TCE","BottomLayer","R_0402","95.6000","164.3000","90","R - RESISTOR - SMD - 10k - 1% - 0402","95.6000","164.3000","95.6000","163.7920"
"RT_9B","0402WGF1002TCE","BottomLayer","R_0402","96.3000","162.2000","90","R - RESISTOR - SMD - 10k - 1% - 0402","96.3000","162.2000","96.3000","161.6920"
"RT_10B","0402WGF1002TCE","BottomLayer","R_0402","97.0000","164.3080","90","R - RESISTOR - SMD - 10k - 1% - 0402","97.0000","164.3080","97.0000","163.8000"
"RT_11B","0402WGF1002TCE","BottomLayer","R_0402","97.7000","162.2000","90","R - RESISTOR - SMD - 10k - 1% - 0402","97.7000","162.2000","97.7000","161.6920"
"RT_12B","0402WGF1002TCE","BottomLayer","R_0402","98.4000","164.3000","90","R - RESISTOR - SMD - 10k - 1% - 0402","98.4000","164.3000","98.4000","163.7920"
"RT_13B","0402WGF1002TCE","BottomLayer","R_0402","99.1000","162.2000","90","R - RESISTOR - SMD - 10k - 1% - 0402","99.1000","162.2000","99.1000","161.6920"
"RT_14B","0402WGF1002TCE","BottomLayer","R_0402","99.8000","164.3000","90","R - RESISTOR - SMD - 10k - 1% - 0402","99.8000","164.3000","99.8000","163.7920"
