Comment,Description,Designator,Footprint,LCSC Part #,LibRef,Quantity

"0402WGF1002TCE","R - RESISTOR - SMD - 10k - 1% - 0402","3V3R1, GQBDR, QBENR, R18, R_Q18G, R_QHTR1, R_QHTR3, R_VBUS1, R_VBUS2, RSCL, RSDA, RT_0B, RT_1B, RT_2B, RT_3B, RT_4B, RT_5B, RT_6B, RT_7B, RT_8B, RT_9B, RT_10B, RT_11B, RT_12B, RT_13B, RT_14B","R_0402","C25744","0402WGF1002TCE","26"
"0402WGF1000TCE","R - RESISTOR - SMD - 100R - 1% - 0402","3V3R2, R2, R_3V3, R_3V4, R_QHTR2, R_WK, RBEN, RSHUNT3, RSNSN, RSNSP","R_0402","C25076","0402WGF1000TCE","10"
"CL05B104KO5NNNC","C - CAPACITOR - MLCC - 100nF - 16V - 0402","C2, CSNS0, CSNS1, CSNS2","C_0402","C1525","CL05B104KO5NNNC","4"
"CL05A105KA5NQNC","C - CAPACITOR - MLCC - 1uF - 25V - 0402","C3V2, C3V3, C5V1, C5V2, C5V3, C5V4, C105, CAP1, CAP2, CAP3, CAPSRC, CC0A, CC0B, CC1, CC2, CC3, CC4, CC5A, CC5B, CC6, CC7, CC8, CC9, CC10A, CC10B, CC11, CC12, CC13, CC14, CR1, CR2, CR3","C_0402","C52923","CL05A105KA5NQNC","32"
"0402CG120J500NT","C - CAPACITOR - MLCC - 12pF - 50V - 0402","C100, C101","C_0402","C1547","0402CG120J500NT","2"
"CL05A106MQ5NUNC","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","C102, C103, C104, C107","C_0402","C15525","CL05A106MQ5NUNC","4"
"0402CG101J500NT","C - CAPACITOR - MLCC - 100pF - 50V - 0402","C106","C_0402","C1546","0402CG101J500NT","1"
"0402WGF1001TCE","R - RESISTOR - SMD - 1k - 1% - 0402","CC15, R3V2, R3V3, R5V1, R5V2, R5V3, R5V4, R110, R_VBUS3, RC0, RC1, RC2, RC3, RC4, RC5A, RC5B, RC6, RC7, RC8, RC9, RC10A, RC10B, RC11, RC12, RC13, RC14, RLED_1, RLED_2, RLED_3, RLED_4","R_0402","C11702","0402WGF1001TCE","30"
"N4148WS","D - DIODE - FAST TRR - 100V - 150mA - 4ns","D1, D2, D_USB, DC5, DC10, DC15, DSHUNT","SOD-323","C2128","N4148WS","7"
"ZMM5V1","D - DIODE - ZENER - 5.1V - 500mW","D_QHTR1, D_QHTR2, DBD_1, DBD_2, DS_1, DS_2, DS_3, DS_4","DO-213AA","C8061","ZMM5V1","8"
