Altium Designer Pick and Place Locations
C:\Users\user\Nextcloud\PC-SYNC\Projects\_source_codes\_all_git_repos\ramptastic\ramptronix\bms_mainboard_3\Project Outputs for BMS_MAINBOARD_3\Pick Place for BMS_MAINBOARD_3.csv

========================================================================================================================
File Design Information:

Date:       23/03/22
Time:       16:47
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"D_USB","N4148WS","TopLayer","SOD-323","33.1000","39.6000","180","D - DIODE - FAST TRR - 100V - 150mA - 4ns","33.1000","39.6000","34.2000","39.6000"
"RLED_4","0402WGF1001TCE","TopLayer","R_0402","25.4000","69.7000","270","R - RESISTOR - SMD - 1k - 1% - 0402","25.4000","69.7000","25.4000","70.2080"
"LED_4","19-21UYC/S530-A4/TR8","TopLayer","D_0603","25.4000","72.0000","270","D - LED - 0603 - Yellow (Sodium)","25.4000","72.0000","25.4000","72.7000"
"QBD_8B","NCE60P12K","TopLayer","TO-252AA","146.1250","21.1000","360","Q - TRANSISTOR - MOSFET (P) - 60V - 12A - 0.1R","149.5000","21.0000","142.7500","23.4000"
"QBD_8A","NCE60P12K","TopLayer","TO-252AA","135.8750","21.1000","180","Q - TRANSISTOR - MOSFET (P) - 60V - 12A - 0.1R","132.5000","21.2000","139.2500","18.8000"
"QBD_7B","NCE60P12K","TopLayer","TO-252AA","171.1250","21.1000","360","Q - TRANSISTOR - MOSFET (P) - 60V - 12A - 0.1R","174.5000","21.0000","167.7500","23.4000"
"QBD_7A","NCE60P12K","TopLayer","TO-252AA","160.8750","21.1000","180","Q - TRANSISTOR - MOSFET (P) - 60V - 12A - 0.1R","157.5000","21.2000","164.2500","18.8000"
"QBD_6B","NCE60P12K","TopLayer","TO-252AA","196.1250","21.1000","360","Q - TRANSISTOR - MOSFET (P) - 60V - 12A - 0.1R","199.5000","21.0000","192.7500","23.4000"
"QBD_6A","NCE60P12K","TopLayer","TO-252AA","185.8750","21.1000","180","Q - TRANSISTOR - MOSFET (P) - 60V - 12A - 0.1R","182.5000","21.2000","189.2500","18.8000"
"J?","XT60PW_F","TopLayer","XT60PW_F","28.0000","26.5000","90","J - JACK - POWER - XT60 - RIGHT - FEMALE","31.0000","26.5000","25.0000","19.7500"
"R_QHTR3","0402WGF1002TCE","TopLayer","R_0402","111.8000","17.9000","360","R - RESISTOR - SMD - 10k - 1% - 0402","111.8000","17.9000","111.2920","17.9000"
"R_QHTR2","0402WGF1000TCE","TopLayer","R_0402","109.3000","19.7000","270","R - RESISTOR - SMD - 100R - 1% - 0402","109.3000","19.7000","109.3000","20.2080"
"R_QHTR1","0402WGF1002TCE","TopLayer","R_0402","104.6000","28.2000","180","R - RESISTOR - SMD - 10k - 1% - 0402","104.6000","28.2000","105.1080","28.2000"
"Q_HTR2","2N7002","TopLayer","TO-236AB","111.8000","20.2000","90","Q - TRANSISTOR - MOSFET (N) - 60V - 200mW","111.8000","20.2000","110.8500","19.0500"
"Q_HTR1","NCE60P12K","TopLayer","TO-252AA","99.6000","24.9250","270","Q - TRANSISTOR - MOSFET (P) - 60V - 12A - 0.1R","99.5000","21.5500","101.9000","28.3000"
"D_QHTR2","ZMM5V1","TopLayer","DO-213AA","107.3000","20.4000","270","D - DIODE - ZENER - 5.1V - 500mW","107.3000","20.4000","107.3000","22.4000"
"D_QHTR1","ZMM5V1","TopLayer","DO-213AA","107.3000","26.2000","270","D - DIODE - ZENER - 5.1V - 500mW","107.3000","26.2000","107.3000","28.2000"
"R3V","0402WGF0000TCE","TopLayer","R_0402","32.0000","110.6000","270","R - RESISTOR - SMD - 0R - 1% - 0402","32.0000","110.6000","32.0000","111.1080"
"R_3V3","0402WGF1000TCE","TopLayer","R_0402","59.6000","20.1000","270","R - RESISTOR - SMD - 100R - 1% - 0402","59.6000","20.1000","59.6000","20.6080"
"U3V","LM317AG-TN3-R","TopLayer","TO-252AA","52.3750","22.0000","180","U - IC - ADJUSTABLE LDO","49.0000","22.1000","55.7500","19.7000"
"R_3V4","0402WGF1000TCE","TopLayer","R_0402","59.1000","22.6000","360","R - RESISTOR - SMD - 100R - 1% - 0402","59.1000","22.6000","58.5920","22.6000"
"R3V3","0402WGF1001TCE","TopLayer","R_0402","58.6000","20.1000","270","R - RESISTOR - SMD - 1k - 1% - 0402","58.6000","20.1000","58.6000","20.6080"
"R3V2","0402WGF1001TCE","TopLayer","R_0402","59.6000","24.1000","90","R - RESISTOR - SMD - 1k - 1% - 0402","59.6000","24.1000","59.6000","23.5920"
"R3V1","0402WGF3300TCE","TopLayer","R_0402","57.6000","20.1000","90","R - RESISTOR - SMD - 330R - 1% - 0402","57.6000","20.1000","57.6000","19.5920"
"R3V0","0402WGF0000TCE","TopLayer","R_0402","57.1000","22.6000","360","R - RESISTOR - SMD - 0R - 1% - 0402","57.1000","22.6000","56.5920","22.6000"
"C5V4","CL05A105KA5NQNC","TopLayer","C_0402","58.1000","24.6000","180","C - CAPACITOR - MLCC - 1uF - 25V - 0402","58.1000","24.6000","58.6080","24.6000"
"C3V3","CL05A105KA5NQNC","TopLayer","C_0402","58.1000","21.6000","180","C - CAPACITOR - MLCC - 1uF - 25V - 0402","58.1000","21.6000","58.6080","21.6000"
"C3V2","CL05A105KA5NQNC","TopLayer","C_0402","58.1000","23.6000","180","C - CAPACITOR - MLCC - 1uF - 25V - 0402","58.1000","23.6000","58.6080","23.6000"
"RLED_3","0402WGF1001TCE","TopLayer","R_0402","25.4000","79.5000","270","R - RESISTOR - SMD - 1k - 1% - 0402","25.4000","79.5000","25.4000","80.0080"
"RLED_2","0402WGF1001TCE","TopLayer","R_0402","25.4000","89.5000","270","R - RESISTOR - SMD - 1k - 1% - 0402","25.4000","89.5000","25.4000","90.0080"
"R_Q18G","0402WGF1002TCE","TopLayer","R_0402","80.0000","20.2000","270","R - RESISTOR - SMD - 10k - 1% - 0402","80.0000","20.2000","80.0000","20.7080"
"Q18","2N7002","TopLayer","TO-236AB","77.7000","19.5000","270","Q - TRANSISTOR - MOSFET (N) - 60V - 200mW","77.7000","19.5000","78.6500","20.6500"
"U5V","LM317AG-TN3-R","TopLayer","TO-252AA","67.9750","22.0000","180","U - IC - ADJUSTABLE LDO","64.6000","22.1000","71.3500","19.7000"
"R5V4","0402WGF1001TCE","TopLayer","R_0402","74.6000","22.4000","180","R - RESISTOR - SMD - 1k - 1% - 0402","74.6000","22.4000","75.1080","22.4000"
"R5V3","0402WGF1001TCE","TopLayer","R_0402","74.6000","23.3000","360","R - RESISTOR - SMD - 1k - 1% - 0402","74.6000","23.3000","74.0920","23.3000"
