Comment,Description,Designator,Footprint,LCSC Part #,LibRef,Quantity

"1206CG104J500NT","C - CAPACITOR - MLCC - 100nF - 50V - 1206 - c0g","C1_C2, C2_C2, C3_C2, C4_C2, C5_C2, C6_C2, C7_C2, C8_C2, C9_C2, C10_C2, C11_C2, C12_C2, CREF_C2","C_1206","C46348","1206CG104J500NT","13"
"C1608C0G1H103JT000N","C - CAPACITOR - MLCC - 10nF - 50V - 0603 - C0G","C1_C3, C2_C3, C3_C3, C4_C3, C5_C3, C6_C3, C7_C3, C8_C3, C9_C3, C10_C3, C11_C3, C12_C3, CREF_C3","C_0603","C76599","C1608C0G1H103JT000N","13"
"CL05B104KO5NNNC","C - CAPACITOR - MLCC - 100nF - 16V - 0402","C1_C4, C2_C4, C3_C4, C4_C4, C5_C4, C6_C4, C7_C4, C8_C4, C9_C4, C10_C4, C11_C4, C12_C4, C106, C300, C500, C501, C801, C802, C803, C900, CREF_C4","C_0402","C1525","CL05B104KO5NNNC","21"
"1N4148WS","D - DIODE - FAST TRR - 100V - 150mA - 4ns","C1_D1, C1_D2, C1_D3, C1_D4, C1_D5, C2_D1, C2_D2, C2_D3, C2_D4, C2_D5, C3_D1, C3_D2, C3_D3, C3_D4, C3_D5, C4_D1, C4_D2, C4_D3, C4_D4, C4_D5, C5_D1, C5_D2, C5_D3, C5_D4, C5_D5, C6_D1, C6_D2, C6_D3, C6_D4, C6_D5, C7_D1, C7_D2, C7_D3, C7_D4, C7_D5, C8_D1, C8_D2, C8_D3, C8_D4, C8_D5, C9_D1, C9_D2, C9_D3, C9_D4, C9_D5, C10_D1, C10_D2, C10_D3, C10_D4, C10_D5, C11_D1, C11_D2, C11_D3, C11_D4, C11_D5, C12_D1, C12_D2, C12_D3, C12_D4, C12_D5, CREF_D1, CREF_D2, CREF_D3, CREF_D4, D0, D20, D_USB","SOD-323","C2128","1N4148WS","67"
"0402WGF100JTCE","R - RESISTOR - SMD - 10R - 1% - 0402","C1_R5, C2_R5, C3_R5, C4_R5, C5_R5, C6_R5, C7_R5, C8_R5, C9_R5, C10_R5, C11_R5, C12_R5, CREF_R5","R_0402","C25077","0402WGF100JTCE","13"
"0402WGF1002TCE","R - RESISTOR - SMD - 10k - 1% - 0402","C1_R6, C2_R6, C3_R6, C4_R6, C5_R6, C6_R6, C7_R6, C8_R6, C9_R6, C10_R6, C11_R6, C12_R6, GQBDR, QBENR, R204, R206, R300, R301, R_PU_0, R_PU_1, R_PU_2, R_PU_3, R_PU_4, R_QHTR3, R_VBUS1, R_VBUS2, RBG_4, RBG_5, RBG_6, RBG_7, RBG_8, RBG_9, RBG_10, RBG_11, RBG_12, RBS_2, RBS_3, RBS_4, RBS_5, RBS_6, RBS_7, RBS_8, RBS_9, RBS_10, RBS_11, RBS_12, RT_0, RT_1, RT_2, RT_3, RT_4, RT_5, RT_6, RT_7, RT_8, RT_9, RT_10, RT_11, RT_12","R_0402","C25744","0402WGF1002TCE","59"
"0402WGF1003TCE","R - RESISTOR - SMD - 100k - 1% -  0402","C1_R7, C2_R7, C3_R7, C4_R7, C5_R7, C6_R7, C7_R7, C8_R7, C9_R7, C10_R7, C11_R7, C12_R7, CREF_R7, R201, Ron_a, Ron_b","R_0402","C25741","0402WGF1003TCE","16"
"1206W4F1000T5E","R - RESISTOR - SMD - 100R - 1% - 1206","C1_R9, C2_R9, C3_R9, C4_R9, C5_R9, C6_R9, C7_R9, C8_R9, C9_R9, C10_R9, C11_R9, C12_R9","R_1206","C17901","1206W4F1000T5E","12"
"0402CG120J500NT","C - CAPACITOR - MLCC - 12pF - 50V - 0402","C100, C101","C_0402","C1547","0402CG120J500NT","2"
"CL05A106MQ5NUNC","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","C102, C103, C104, C107, C108, C601, C602, C603, C700, C701, C702","C_0402","C15525","CL05A106MQ5NUNC","11"
"CL05A105KA5NQNC","C - CAPACITOR - MLCC - 1uF - 25V - 0402","C105, C201, C204, C205, C206, C207, C208, C209, C210, C211, C600, C800, C1000, C_C1, C_C2, C_C3, C_C4, C_C5, C_C6, C_C7, C_C8, C_C9, C_C10, C_C11, C_C12, C_REF","C_0402","C52923","CL05A105KA5NQNC","26"
"CL05B103KB5NNNC","C - CAPACITOR - MLCC - 10nF - 50V - 0402","C200","C_0402","C15195","CL05B103KB5NNNC","1"
"CL05B332KB5NNNC","C - CAPACITOR - MLCC - 3.3nF - 50V - 0402","C202","C_0402","C26404","CL05B332KB5NNNC","1"
"1206B105K101NT","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","C212, C213, C214, C215","C_1206","C91151","1206B105K101NT","4"
"CL05A475MP5NRNC","C - CAPACITOR - MLCC - 4.7uF - 10V - 0402","C1004, C1005, C1006, C1007, C1008","C_0402","C23733","CL05A475MP5NRNC","5"
"SS210","D - DIODE - SCHOTTKY - 100V - 2A","D200","DO-214AC","C14996","SS210","1"
"ZMM5V6-M","D - DIODE - ZENER - 5.6V - 500mW","D201, DBD_1, DBD_2","DO-213AA","C8062","ZMM5V6-M","3"
"Keystone 1048","J - JACK - SMT Battery Holder 18650X2 Cells","J1, J2, J3, J4, J5, J6","Keystone 1048","","Keystone 1048","6"
"918-418K2023S40001","J - JACK - USB - Type C - Recepticle - SMT - 90°","J100","DX07S016JA1R1500","C167321","918-418K2023S40001","1"
