Altium Designer Pick and Place Locations
C:\Users\user\Nextcloud\PC-SYNC\Projects\_source_codes\github\ramptastic\ramptronix\bms_mainboard_4\Project Outputs for BMS_MAINBOARD_4\Pick Place for BMS_MAINBOARD_4(F1).csv

========================================================================================================================
File Design Information:

Date:       25/05/22
Time:       15:13
Revision:   6f144f90757f4f941f10e0aba93e2aff8d95ea6a
Variant:    F1
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"C10_R9","1206W4F1000T5E","TopLayer","R_1206","90.0000","106.3000","360","R - RESISTOR - SMD - 100R - 1% - 1206","90.0000","106.3000","88.6000","106.3000"
"C1008","CL05A475MP5NRNC","TopLayer","C_0402","71.5000","56.1000","270","C - CAPACITOR - MLCC - 4.7uF - 10V - 0402","71.5000","56.1000","71.5000","56.6080"
"C1007","CL05A475MP5NRNC","TopLayer","C_0402","70.4000","56.1000","270","C - CAPACITOR - MLCC - 4.7uF - 10V - 0402","70.4000","56.1000","70.4000","56.6080"
"C1006","CL05A475MP5NRNC","TopLayer","C_0402","69.3000","56.1000","270","C - CAPACITOR - MLCC - 4.7uF - 10V - 0402","69.3000","56.1000","69.3000","56.6080"
"R_C1A","0402WGF0000TCE","TopLayer","R_0402","72.9000","65.5000","270","R - RESISTOR - SMD - 0R - 1% - 0402","72.9000","65.5000","72.9000","66.0080"
"R_C1B","0402WGF0000TCE","TopLayer","R_0402","72.9000","67.5000","90","R - RESISTOR - SMD - 0R - 1% - 0402","72.9000","67.5000","72.9000","66.9920"
"R_C2A","0402WGF0000TCE","TopLayer","R_0402","72.9000","69.9000","270","R - RESISTOR - SMD - 0R - 1% - 0402","72.9000","69.9000","72.9000","70.4080"
"R_C2B","0402WGF0000TCE","TopLayer","R_0402","72.9000","71.9000","90","R - RESISTOR - SMD - 0R - 1% - 0402","72.9000","71.9000","72.9000","71.3920"
"R_C3A","0402WGF0000TCE","TopLayer","R_0402","72.9000","74.3000","270","R - RESISTOR - SMD - 0R - 1% - 0402","72.9000","74.3000","72.9000","74.8080"
"R_C3B","0402WGF0000TCE","TopLayer","R_0402","72.9000","76.3000","90","R - RESISTOR - SMD - 0R - 1% - 0402","72.9000","76.3000","72.9000","75.7920"
"R_C4A","0402WGF0000TCE","TopLayer","R_0402","72.9000","78.7000","270","R - RESISTOR - SMD - 0R - 1% - 0402","72.9000","78.7000","72.9000","79.2080"
"R_C4B","0402WGF0000TCE","TopLayer","R_0402","72.9000","80.7000","90","R - RESISTOR - SMD - 0R - 1% - 0402","72.9000","80.7000","72.9000","80.1920"
"R_C5A","0402WGF0000TCE","TopLayer","R_0402","72.9000","83.1000","270","R - RESISTOR - SMD - 0R - 1% - 0402","72.9000","83.1000","72.9000","83.6080"
