Removed Pin From Net: NetName=GND Pin=C_REF-1
Removed Pin From Net: NetName=GND Pin=CREF_C4-1
Removed Pin From Net: NetName=GND Pin=CREF_D2-2
Removed Pin From Net: NetName=GND Pin=CREF_D4-2
Removed Pin From Net: NetName=GND Pin=CREF_R7-2
Removed Pin From Net: NetName=+3V3 Pin=R_REF-2
Removed Member From Class: ClassName=BMS_MAINBOARD Member=C_REF
Removed Member From Class: ClassName=BMS_MAINBOARD Member=CREF_C2
Removed Member From Class: ClassName=BMS_MAINBOARD Member=CREF_C3
Removed Member From Class: ClassName=BMS_MAINBOARD Member=CREF_C4
Removed Member From Class: ClassName=BMS_MAINBOARD Member=CREF_D1
Removed Member From Class: ClassName=BMS_MAINBOARD Member=CREF_D2
Removed Member From Class: ClassName=BMS_MAINBOARD Member=CREF_D3
Removed Member From Class: ClassName=BMS_MAINBOARD Member=CREF_D4
Removed Member From Class: ClassName=BMS_MAINBOARD Member=CREF_R5
Removed Member From Class: ClassName=BMS_MAINBOARD Member=CREF_R7
Removed Member From Class: ClassName=BMS_MAINBOARD Member=R_REF
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component CR? CL05A105KA5NQNC
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
