Removed Pin From Net: NetName=NetRC?_1 Pin=RC?-1
Added Pin To Net: NetName=NetRC?_1 Pin=RC?-1
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component CR? CL05A105KA5NQNC
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
