Removed Pin From Net: NetName=+5V Pin=R_PU_4-1
Removed Pin From Net: NetName=EN_BAL Pin=R_PU_4-2
Removed Pin From Net: NetName=NetRC?_1 Pin=RC?-1
Removed Member From Class: ClassName=BMS_MAINBOARD Member=R_PU_4
Added Pin To Net: NetName=NetRC?_1 Pin=RC?-1
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component CR? CL05A105KA5NQNC
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
Added Member To Class: ClassName=BMS_MAINBOARD Member=Component RC? 0402WGF1001TCE
