Altium Designer Pick and Place Locations
C:\git\ramptastic\ramptronix\bms_mainboard_6\Project Outputs for BMS_MAINBOARD_6\Pick Place for BMS_MAINBOARD_6(F1).csv

========================================================================================================================
File Design Information:

Date:       10/06/22
Time:       10:09
Revision:   Not in VersionControl
Variant:    F1
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"TS_R1","0402WGF1002TCE","TopLayer","R_0402","56.4000","55.6000","90","R - RESISTOR - SMD - 10k - 1% - 0402","56.4000","55.6000","56.4000","55.0920"
"R13","0402WGF1002TCE","TopLayer","R_0402","55.5000","87.6000","180","R - RESISTOR - SMD - 10k - 1% - 0402","55.5000","87.6000","56.0080","87.6000"
"R11","0402WGF1002TCE","TopLayer","R_0402","55.5000","89.6000","180","R - RESISTOR - SMD - 10k - 1% - 0402","55.5000","89.6000","56.0080","89.6000"
"R10","0402WGF1002TCE","TopLayer","R_0402","55.5000","94.6000","180","R - RESISTOR - SMD - 10k - 1% - 0402","55.5000","94.6000","56.0080","94.6000"
"RST_R1","0402WGF1002TCE","TopLayer","R_0402","64.4000","98.3000","270","R - RESISTOR - SMD - 10k - 1% - 0402","64.4000","98.3000","64.4000","98.8080"
"RST_Q2","2N7002","TopLayer","TO-236AB","54.9000","97.8000","90","Q - TRANSISTOR - MOSFET (N) - 60V - 200mW","54.9000","97.8000","53.9500","96.6500"
"RST_Q1","2N7002","TopLayer","TO-236AB","63.1000","100.8000","270","Q - TRANSISTOR - MOSFET (N) - 60V - 200mW","63.1000","100.8000","64.0500","101.9500"
"10x_D2","1N4148WS","TopLayer","SOD-323","63.1000","103.5000","360","D - DIODE - FAST TRR - 100V - 150mA - 4ns","63.1000","103.5000","62.0000","103.5000"
"5x_D2","1N4148WS","TopLayer","SOD-323","63.2000","110.9000","360","D - DIODE - FAST TRR - 100V - 150mA - 4ns","63.2000","110.9000","62.1000","110.9000"
"5x_R2","0402WGF2202TCE","TopLayer","R_0402","64.5000","113.1000","270","R - RESISTOR - SMD - 22k - 1% - 0402","64.5000","113.1000","64.5000","113.6080"
"5x_R1","0402WGF1002TCE","TopLayer","R_0402","64.5000","115.2000","270","R - RESISTOR - SMD - 10k - 1% - 0402","64.5000","115.2000","64.5000","115.7080"
"5x_Q1","HSS0127","TopLayer","TO-236AB","62.0000","113.6000","180","Q - TRANSISTOR - MOSFET (P) - 100V - 0.9A - 0.65 Ohm","62.0000","113.6000","63.1500","112.6500"
"5x_D1","1N4148WS","TopLayer","SOD-323","62.1000","116.3000","180","D - DIODE - FAST TRR - 100V - 150mA - 4ns","62.1000","116.3000","63.2000","116.3000"
"10x_R1","0402WGF1002TCE","TopLayer","R_0402","64.4000","107.8000","270","R - RESISTOR - SMD - 10k - 1% - 0402","64.4000","107.8000","64.4000","108.3080"
"10x_R2","0402WGF2202TCE","TopLayer","R_0402","64.4000","105.7000","270","R - RESISTOR - SMD - 22k - 1% - 0402","64.4000","105.7000","64.4000","106.2080"
"10x_Q1","HSS0127","TopLayer","TO-236AB","62.0001","106.1993","180","Q - TRANSISTOR - MOSFET (P) - 100V - 0.9A - 0.65 Ohm","62.0001","106.1993","63.1501","105.2493"
"10x_D1","1N4148WS","TopLayer","SOD-323","62.1000","108.9000","180","D - DIODE - FAST TRR - 100V - 150mA - 4ns","62.1000","108.9000","63.2000","108.9000"
"REGSRC_R3","0402WGF1003TCE","TopLayer","R_0402","65.9000","73.0000","270","R - RESISTOR - SMD - 100k - 1% -  0402","65.9000","73.0000","65.9000","73.5080"
"REGSRC_R2","0402WGF1000TCE","TopLayer","R_0402","64.6000","73.0000","270","R - RESISTOR - SMD - 100R - 1% - 0402","64.6000","73.0000","64.6000","73.5080"
"REGSRC_R1","0402WGF1003TCE","TopLayer","R_0402","66.3000","69.8000","270","R - RESISTOR - SMD - 100k - 1% -  0402","66.3000","69.8000","66.3000","70.3080"
"REGSRC_D1","N4148WS","TopLayer","SOD-323","64.7000","69.9000","270","D - DIODE - FAST TRR - 100V - 150mA - 4ns","64.7000","69.9000","64.7000","71.0000"
"REGSRC_Q1","2N7002","TopLayer","TO-236AB","65.4000","66.2000","270","Q - TRANSISTOR - MOSFET (N) - 60V - 200mW","65.4000","66.2000","66.3500","67.3500"
"U101","BQ7694002DBTR","TopLayer","TSSOP-44-P0.5MM-W4MM","60.6000","91.0000","0","9 to 15-series cell li-ion and li-phosphate battery monitor (bq76940 family)","60.6000","91.0000","57.9250","96.2500"
"R_C14","0402WGF1000TCE","TopLayer","R_0402","69.0000","67.2000","360","R - RESISTOR - SMD - 100R - 1% - 0402","69.0000","67.2000","68.4920","67.2000"
"R_C13","0402WGF1000TCE","TopLayer","R_0402","69.0000","70.4000","360","R - RESISTOR - SMD - 100R - 1% - 0402","69.0000","70.4000","68.4920","70.4000"
"R_C12","0402WGF1000TCE","TopLayer","R_0402","69.0000","74.8000","360","R - RESISTOR - SMD - 100R - 1% - 0402","69.0000","74.8000","68.4920","74.8000"
"R_C11","0402WGF1000TCE","TopLayer","R_0402","69.0000","79.1000","360","R - RESISTOR - SMD - 100R - 1% - 0402","69.0000","79.1000","68.4920","79.1000"
"R_C10X","0402WGF1000TCE","TopLayer","R_0402","69.0000","80.4000","360","R - RESISTOR - SMD - 100R - 1% - 0402","69.0000","80.4000","68.4920","80.4000"
"R_C10","0402WGF1000TCE","TopLayer","R_0402","69.0000","83.6000","360","R - RESISTOR - SMD - 100R - 1% - 0402","69.0000","83.6000","68.4920","83.6000"
"R_C9","0402WGF1000TCE","TopLayer","R_0402","69.0000","84.8000","360","R - RESISTOR - SMD - 100R - 1% - 0402","69.0000","84.8000","68.4920","84.8000"
"R_C8","0402WGF1000TCE","TopLayer","R_0402","69.0000","88.0000","360","R - RESISTOR - SMD - 100R - 1% - 0402","69.0000","88.0000","68.4920","88.0000"
"R_C7","0402WGF1000TCE","TopLayer","R_0402","69.0000","89.2000","360","R - RESISTOR - SMD - 100R - 1% - 0402","69.0000","89.2000","68.4920","89.2000"
"R_C6","0402WGF1000TCE","TopLayer","R_0402","69.0000","93.6000","360","R - RESISTOR - SMD - 100R - 1% - 0402","69.0000","93.6000","68.4920","93.6000"
"R_C5X","0402WGF1000TCE","TopLayer","R_0402","69.0000","98.0000","360","R - RESISTOR - SMD - 100R - 1% - 0402","69.0000","98.0000","68.4920","98.0000"
"R_C5","0402WGF1000TCE","TopLayer","R_0402","69.0000","101.2000","360","R - RESISTOR - SMD - 100R - 1% - 0402","69.0000","101.2000","68.4920","101.2000"
"R_C4","0402WGF1000TCE","TopLayer","R_0402","69.0000","102.4000","360","R - RESISTOR - SMD - 100R - 1% - 0402","69.0000","102.4000","68.4920","102.4000"
"R_C3","0402WGF1000TCE","TopLayer","R_0402","69.0000","105.6000","360","R - RESISTOR - SMD - 100R - 1% - 0402","69.0000","105.6000","68.4920","105.6000"
"R_C2","0402WGF1000TCE","TopLayer","R_0402","69.0000","110.0000","360","R - RESISTOR - SMD - 100R - 1% - 0402","69.0000","110.0000","68.4920","110.0000"
"R_C1","0402WGF1000TCE","TopLayer","R_0402","69.0000","114.4000","360","R - RESISTOR - SMD - 100R - 1% - 0402","69.0000","114.4000","68.4920","114.4000"
"R_C0","0402WGF1000TCE","TopLayer","R_0402","69.0000","115.6000","360","R - RESISTOR - SMD - 100R - 1% - 0402","69.0000","115.6000","68.4920","115.6000"
"R_SDA","0402WGF1002TCE","TopLayer","R_0402","57.4000","98.1000","270","R - RESISTOR - SMD - 10k - 1% - 0402","57.4000","98.1000","57.4000","98.6080"
"R_SCL","0402WGF1002TCE","TopLayer","R_0402","58.5000","98.1000","270","R - RESISTOR - SMD - 10k - 1% - 0402","58.5000","98.1000","58.5000","98.6080"
"DC_BAT","N4148WS","TopLayer","SOD-323","61.0000","81.9000","360","D - DIODE - FAST TRR - 100V - 150mA - 4ns","61.0000","81.9000","59.9000","81.9000"
"DC_10x","N4148WS","TopLayer","SOD-323","61.0000","83.9000","360","D - DIODE - FAST TRR - 100V - 150mA - 4ns","61.0000","83.9000","59.9000","83.9000"
"DC_5x","N4148WS","TopLayer","SOD-323","60.9000","98.1000","360","D - DIODE - FAST TRR - 100V - 150mA - 4ns","60.9000","98.1000","59.8000","98.1000"
"C_R1","CL05A105KA5NQNC","TopLayer","C_0402","55.5000","92.6000","180","C - CAPACITOR - MLCC - 1uF - 25V - 0402","55.5000","92.6000","56.0080","92.6000"
"R_C15","0402WGF1000TCE","TopLayer","R_0402","69.0000","66.0000","360","R - RESISTOR - SMD - 100R - 1% - 0402","69.0000","66.0000","68.4920","66.0000"
"CAP_SRC","CL05A105KA5NQNC","TopLayer","C_0402","55.5000","91.6000","180","C - CAPACITOR - MLCC - 1uF - 25V - 0402","55.5000","91.6000","56.0080","91.6000"
"CAP3","CL05A105KA5NQNC","TopLayer","C_0402","55.5000","88.6000","360","C - CAPACITOR - MLCC - 1uF - 25V - 0402","55.5000","88.6000","54.9920","88.6000"
"CAP2","CL05A105KA5NQNC","TopLayer","C_0402","55.5000","90.6000","360","C - CAPACITOR - MLCC - 1uF - 25V - 0402","55.5000","90.6000","54.9920","90.6000"
"CAP1","CL05A105KA5NQNC","TopLayer","C_0402","55.5000","93.6000","180","C - CAPACITOR - MLCC - 1uF - 25V - 0402","55.5000","93.6000","56.0080","93.6000"
