Altium Designer Pick and Place Locations
C:\Users\user\Nextcloud\PC-SYNC\Projects\_source_codes\_all_git_repos\bitsnap_snaps\pcba\snaps\BUSBAR_18650_12S\Project Outputs for BUSBAR_18650_12S\Pick Place for BUSBAR_18650_12S.csv

========================================================================================================================
File Design Information:

Date:       16/02/22
Time:       13:35
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"NT_13_14","0","TopLayer","NET_TIE","103.3000","55.0000","360","R - Net Tie","103.3000","55.0000","103.1000","55.0000"
"NT_13_14_2","0","TopLayer","NET_TIE","139.6000","15.1000","360","R - Net Tie","139.6000","15.1000","139.4000","15.1000"
"NT_8_9","0","TopLayer","NET_TIE","90.5000","55.6000","90","R - Net Tie","90.5000","55.6000","90.5000","55.4000"
"NT_3_4","0","TopLayer","NET_TIE","73.4000","52.4000","180","R - Net Tie","73.4000","52.4000","73.6000","52.4000"
"TSB_12","NCP15XH103F03RC","TopLayer","RES_0402","244.3000","28.0000","90","RT - NTC THERMISTOR - 10k - 1% - 0402","244.3000","28.0000","244.3000","27.4920"
"TSB_10_11","NCP15XH103F03RC","TopLayer","RES_0402","222.2000","22.8000","180","RT - NTC THERMISTOR - 10k - 1% - 0402","222.2000","22.8000","222.7080","22.8000"
"TSB_8_9","NCP15XH103F03RC","TopLayer","RES_0402","180.1000","22.9000","180","RT - NTC THERMISTOR - 10k - 1% - 0402","180.1000","22.9000","180.6080","22.9000"
"TSB_6_7","NCP15XH103F03RC","TopLayer","RES_0402","138.0000","22.8000","360","RT - NTC THERMISTOR - 10k - 1% - 0402","138.0000","22.8000","137.4920","22.8000"
"TSB_4_5","NCP15XH103F03RC","TopLayer","RES_0402","96.2000","22.5000","360","RT - NTC THERMISTOR - 10k - 1% - 0402","96.2000","22.5000","95.6920","22.5000"
"TSB_2_3","NCP15XH103F03RC","TopLayer","RES_0402","54.2000","22.8000","360","RT - NTC THERMISTOR - 10k - 1% - 0402","54.2000","22.8000","53.6920","22.8000"
"TSB_1","NCP15XH103F03RC","TopLayer","RES_0402","34.0000","27.8000","270","RT - NTC THERMISTOR - 10k - 1% - 0402","34.0000","27.8000","34.0000","28.3080"
"JB12","47615-0001","TopLayer","47615-0001","163.5000","13.3000","360","Battery Spring x4","163.5000","14.5500","160.5000","13.3000"
"JB11","47615-0001","TopLayer","47615-0001","151.5000","13.3000","360","Battery Spring x4","151.5000","14.5500","148.5000","13.3000"
"JB10","47615-0001","TopLayer","47615-0001","139.5000","13.3500","360","Battery Spring x4","139.5000","14.6000","136.5000","13.3500"
"JB9","47615-0001","TopLayer","47615-0001","127.5000","13.3000","360","Battery Spring x4","127.5000","14.5500","124.5000","13.3000"
"JB8","47615-0001","TopLayer","47615-0001","115.5000","13.2500","360","Battery Spring x4","115.5000","14.5000","112.5000","13.2500"
"JB7","47615-0001","TopLayer","47615-0001","103.5000","13.3000","360","Battery Spring x4","103.5000","14.5500","100.5000","13.3000"
"JB6","47615-0001","TopLayer","47615-0001","91.5000","13.3000","360","Battery Spring x4","91.5000","14.5500","88.5000","13.3000"
"JB5","47615-0001","TopLayer","47615-0001","79.5000","13.3000","360","Battery Spring x4","79.5000","14.5500","76.5000","13.3000"
"JB4","47615-0001","TopLayer","47615-0001","67.5000","13.3000","360","Battery Spring x4","67.5000","14.5500","64.5000","13.3000"
"JB3","47615-0001","TopLayer","47615-0001","55.5000","13.3000","360","Battery Spring x4","55.5000","14.5500","52.5000","13.3000"
"JB2","47615-0001","TopLayer","47615-0001","43.5000","13.3000","360","Battery Spring x4","43.5000","14.5500","40.5000","13.3000"
"JB1","47615-0001","TopLayer","47615-0001","31.5000","13.3000","360","Battery Spring x4","31.5000","14.5500","28.5000","13.3000"
"RC_431","0603WAF0000T5E","TopLayer","RES_0603","256.0000","24.3000","180","R - RESISTOR - SMD - 0R - 1% - 0603","256.0000","24.3000","256.7700","24.3000"
"RC_430","0603WAF0000T5E","TopLayer","RES_0603","251.2000","24.3000","180","R - RESISTOR - SMD - 0R - 1% - 0603","251.2000","24.3000","251.9700","24.3000"
"RC_429","0603WAF0000T5E","TopLayer","RES_0603","258.4000","26.6000","90","R - RESISTOR - SMD - 0R - 1% - 0603","258.4000","26.6000","258.4000","25.8300"
"RC_428","0603WAF0000T5E","TopLayer","RES_0603","256.8000","26.6000","90","R - RESISTOR - SMD - 0R - 1% - 0603","256.8000","26.6000","256.8000","25.8300"
"RC_427","0603WAF0000T5E","TopLayer","RES_0603","255.2000","26.6000","90","R - RESISTOR - SMD - 0R - 1% - 0603","255.2000","26.6000","255.2000","25.8300"
"RC_426","0603WAF0000T5E","TopLayer","RES_0603","253.6000","26.6000","90","R - RESISTOR - SMD - 0R - 1% - 0603","253.6000","26.6000","253.6000","25.8300"
"RC_425","0603WAF0000T5E","TopLayer","RES_0603","252.0000","26.6000","90","R - RESISTOR - SMD - 0R - 1% - 0603","252.0000","26.6000","252.0000","25.8300"
"RC_424","0603WAF0000T5E","TopLayer","RES_0603","250.4000","26.6000","90","R - RESISTOR - SMD - 0R - 1% - 0603","250.4000","26.6000","250.4000","25.8300"
"RC_423","0603WAF0000T5E","TopLayer","RES_0603","248.8000","26.6000","90","R - RESISTOR - SMD - 0R - 1% - 0603","248.8000","26.6000","248.8000","25.8300"
"RC_422","0603WAF0000T5E","TopLayer","RES_0603","258.4000","29.7000","90","R - RESISTOR - SMD - 0R - 1% - 0603","258.4000","29.7000","258.4000","28.9300"
"RC_421","0603WAF0000T5E","TopLayer","RES_0603","256.8000","29.7000","90","R - RESISTOR - SMD - 0R - 1% - 0603","256.8000","29.7000","256.8000","28.9300"
"RC_420","0603WAF0000T5E","TopLayer","RES_0603","255.2000","29.7000","90","R - RESISTOR - SMD - 0R - 1% - 0603","255.2000","29.7000","255.2000","28.9300"
"RC_419","0603WAF0000T5E","TopLayer","RES_0603","253.6000","29.7000","90","R - RESISTOR - SMD - 0R - 1% - 0603","253.6000","29.7000","253.6000","28.9300"
"RC_418","0603WAF0000T5E","TopLayer","RES_0603","252.0000","29.7000","90","R - RESISTOR - SMD - 0R - 1% - 0603","252.0000","29.7000","252.0000","28.9300"
"RC_417","0603WAF0000T5E","TopLayer","RES_0603","250.4000","29.7000","90","R - RESISTOR - SMD - 0R - 1% - 0603","250.4000","29.7000","250.4000","28.9300"
"RC_416","0603WAF0000T5E","TopLayer","RES_0603","248.8000","29.7000","90","R - RESISTOR - SMD - 0R - 1% - 0603","248.8000","29.7000","248.8000","28.9300"
"RC_415","0603WAF0000T5E","TopLayer","RES_0603","256.0000","32.0000","180","R - RESISTOR - SMD - 0R - 1% - 0603","256.0000","32.0000","256.7700","32.0000"
"RC_414","0603WAF0000T5E","TopLayer","RES_0603","251.2000","32.0000","180","R - RESISTOR - SMD - 0R - 1% - 0603","251.2000","32.0000","251.9700","32.0000"
"RC_360","0603WAF0000T5E","TopLayer","RES_0603","230.3000","32.0000","180","R - RESISTOR - SMD - 0R - 1% - 0603","230.3000","32.0000","231.0700","32.0000"
"RC_361","0603WAF0000T5E","TopLayer","RES_0603","235.1000","32.0000","180","R - RESISTOR - SMD - 0R - 1% - 0603","235.1000","32.0000","235.8700","32.0000"
"RC_362","0603WAF0000T5E","TopLayer","RES_0603","228.0000","29.7000","90","R - RESISTOR - SMD - 0R - 1% - 0603","228.0000","29.7000","228.0000","28.9300"
"RC_363","0603WAF0000T5E","TopLayer","RES_0603","229.5000","29.7000","90","R - RESISTOR - SMD - 0R - 1% - 0603","229.5000","29.7000","229.5000","28.9300"
"RC_364","0603WAF0000T5E","TopLayer","RES_0603","231.1000","29.7000","90","R - RESISTOR - SMD - 0R - 1% - 0603","231.1000","29.7000","231.1000","28.9300"
"RC_365","0603WAF0000T5E","TopLayer","RES_0603","232.7000","29.7000","90","R - RESISTOR - SMD - 0R - 1% - 0603","232.7000","29.7000","232.7000","28.9300"
"RC_366","0603WAF0000T5E","TopLayer","RES_0603","234.3000","29.7000","90","R - RESISTOR - SMD - 0R - 1% - 0603","234.3000","29.7000","234.3000","28.9300"
"RC_367","0603WAF0000T5E","TopLayer","RES_0603","235.9000","29.7000","90","R - RESISTOR - SMD - 0R - 1% - 0603","235.9000","29.7000","235.9000","28.9300"
"RC_368","0603WAF0000T5E","TopLayer","RES_0603","237.5000","29.7000","90","R - RESISTOR - SMD - 0R - 1% - 0603","237.5000","29.7000","237.5000","28.9300"
"RC_369","0603WAF0000T5E","TopLayer","RES_0603","228.0000","26.6000","90","R - RESISTOR - SMD - 0R - 1% - 0603","228.0000","26.6000","228.0000","25.8300"
"RC_370","0603WAF0000T5E","TopLayer","RES_0603","229.5000","26.6000","90","R - RESISTOR - SMD - 0R - 1% - 0603","229.5000","26.6000","229.5000","25.8300"
