Comment,Description,Designator,Footprint,LCSC Part #,LibRef,Quantity

"1206B105K101NT","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","C1, C4, C5, C6, C7, C8, C9, C10, C11, C12, C16, C20, C25, C27, C28, C30, C36, C41, C44, C58, C61, C70, C72, C130, C410, C450, C470, C620","C_1206","C91151","1206B105K101NT","28"
"CL05A105KA5NQNC","C - CAPACITOR - MLCC - 1uF - 25V - 0402","C5v1, C12v1, C12v2, C12v3, C12v4, C12v5, C12v6, C12v7, C12v8, C12v9, C12v10, C12v11, C12v12, C201, Cvcc","C_0402","C52923","CL05A105KA5NQNC","15"
"CL05A106MQ5NUNC","C - CAPACITOR - MLCC - 10uF - 6.3V - 0402","C5v2","C_0402","C15525","CL05A106MQ5NUNC","1"
"0402CG6R8C500NT","C - CAPACITOR - MLCC - 6.8pF - 50V - 0402","C14, C15","C_0402","C1576","0402CG6R8C500NT","2"
"1206B102K202NT","C - CAPACITOR - MLCC - 1nF - 2000V - 1206 - X7R","C18, C19","C_1206","C9196","1206B102K202NT","2"
"VZH470M2ATR-1010","C - CAPACITOR - ELECTROLYTIC - 47uF - 100V","C45, C53, C54, C55","C_CAN_1010","C164068","VZH470M2ATR-1010","4"
"CL10B474KA8NNNC","C - CAPACITOR - MLCC - 470nF - 25V - 0603","Cboot1, Cboot2","C_0603","C1623","CL10B474KA8NNNC","2"
"CL05B103KB5NNNC","C - CAPACITOR - MLCC - 10nF - 50V - 0402","Cbst","C_0402","C15195","CL05B103KB5NNNC","1"
"CL05B332KB5NNNC","C - CAPACITOR - MLCC - 3.3nF - 50V - 0402","Ccmp","C_0402","C26404","CL05B332KB5NNNC","1"
"0402CG560J500NT","C - CAPACITOR - MLCC - 56pF - 50V -  0402","CCS","C_0402","C1572","0402CG560J500NT","1"
"0402B102K500NT","C - CAPACITOR - MLCC - 1nF - 50V - 0402","Ciin, Ciout","C_0402","C1523","0402B102K500NT","2"
"CL05B104KO5NNNC","C - CAPACITOR - MLCC - 100nF - 16V - 0402","Cvdd","C_0402","C1525","CL05B104KO5NNNC","1"
"N4148WS","D - DIODE - FAST TRR - 100V - 150mA - 4ns","D3, D4, D5, D6","SOD-323","C2128","N4148WS","4"
"SS210","D - DIODE - SCHOTTKY - 100V - 2A","D14, D15, Dbg1, Dbg2, Dpsu1, Dtg1, Dtg2","DO-214AC","C14996","SS210","7"
"XT60PW_M","J - JACK - POWER - XT60 - RIGHT - MALE","Jout","XT60PW_M","X","XT60PW_M","1"
"SWRB1207S-221MT","L - INDUCTOR - 220uH - 1.6A - 12.5mm","L200","SRR1260","C169380","SWRB1207S-221MT","1"
"FDB33N25TM","Q - TRANSISTOR - MOSFET (N) - 250V - 33A - 0.094R","Qbg1, Qbg2, Qtg1, Qtg2","TO-263-3","C241752","FDB33N25TM","4"
"1m","R - RESISTOR - SMD - 0.005R - 1% - 2512 - 2W","R1, Rcs","R_2512","C371096","FMF25FPJR005-LH","2"
"1206W4F100JT5E","R - RESISTOR - SMD - 10R - 1% - 1206","R110, R140","R_1206","C17903","1206W4F100JT5E","2"
"0402WGF0000TCE","R - RESISTOR - SMD - 0R - 1% - 0402","Ragnd, Rpsu1","R_0402","C17168","0402WGF0000TCE","2"
"0402WGF100JTCE","R - RESISTOR - SMD - 10R - 1% - 0402","Rbg1a, Rbg1b, Rbg2a, Rbg2b, Rbin, Rbout, Rtg1a, Rtg1b, Rtg2a, Rtg2b","R_0402","C25077","0402WGF100JTCE","10"
"0402WGF1002TCE","R - RESISTOR - SMD - 10k - 1% - 0402","Rbg1s, Rbg2s, Rovs, Rpsufb1, Rtg1s, Rtg2s","R_0402","C25744","0402WGF1002TCE","6"
"0402WGF3302TCE","R - RESISTOR - SMD - 33k - 1% - 0402","Rcl1","R_0402","C25779","0402WGF3302TCE","1"
"0402WGF1003TCE","R - RESISTOR - SMD - 100k - 1% -  0402","Rcl2","R_0402","C25741","0402WGF1003TCE","1"
"0402WGF1000TCE","R - RESISTOR - SMD - 100R - 1% - 0402","Rcsg, Rcsp","R_0402","C25076","0402WGF1000TCE","2"
"0402WGF5602TCE","R - RESISTOR - SMD - 56k - 1% - 0402","Riin, Riout","R_0402","C25796","0402WGF5602TCE","2"
"0603WAF6800T5E","R - RESISTOR - SMD - 680R - 1% - 0603","Riinsns1, Riinsns2","R_0603","C23228","0603WAF6800T5E","2"
"0402WGF2003TCE","R - RESISTOR - SMD - 200k - 1% - 0402","Ron","R_0402","C25764","0402WGF2003TCE","1"
"0402WGF4702TCE","R - RESISTOR - SMD - 47k - 1% - 0402","Ron_c","R_0402","C25792","0402WGF4702TCE","1"
"0402WGF3301TCE","R - RESISTOR - SMD - 3.3k - 1% - 0402","Rpsufb2","R_0402","C25890","0402WGF3301TCE","1"
"0603WAF1002T5E","R - RESISTOR - SMD - 10k - 1% - 0603","Rvinb","R_0603","C25804","0603WAF1002T5E","1"
"0603WAF100KT5E","R - RESISTOR - SMD - 100k - 1% -  0603","Rvint","R_0603","C22936","0603WAF100KT5E","1"
"78L05G-AB3-R","U - IC - 5V Power Regulator","U5V2","SOT-223-3","C71136","78L05G-AB3-R","1"
"SM72295MAX","Photovoltaic Full Bridge Driver","Ugd","M28B_M","","SM72295","1"
"LM5008MMX/NOPB","U - IC - BUCK CONVERTER, ADJUSTABLE, 95V, 350mA","Upsu","SOP65P490X110-8N","","LM5008MMX/NOPB","1"
