Altium Designer Pick and Place Locations
C:\git\ramptastic\ramptronix\low_l_bridge\Project Outputs\Pick Place for SM3320-BATT-EV.csv

========================================================================================================================
File Design Information:

Date:       21/06/22
Time:       15:42
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"C1","1206B105K101NT","TopLayer","C_1206","105.5034","27.5048","90","C - CAPACITOR - MLCC - 1uF - 100V - 1206 - X7R","105.5034","27.5048","105.5034","26.1094"
"Rbout","0402WGF100JTCE","TopLayer","R_0402","131.2000","58.9000","180","R - RESISTOR - SMD - 10R - 1% - 0402","131.2000","58.9000","131.7080","58.9000"
"Rbin","0402WGF100JTCE","TopLayer","R_0402","131.3000","50.1000","180","R - RESISTOR - SMD - 10R - 1% - 0402","131.3000","50.1000","131.8080","50.1000"
"Rpsu1","0402WGF0000TCE","TopLayer","R_0402","170.9000","86.9000","360","R - RESISTOR - SMD - 0R - 1% - 0402","170.9000","86.9000","170.3920","86.9000"
"Jout","XT60PW_M","TopLayer","XT60PW_M","162.0000","31.2500","270","J - JACK - POWER - XT60 - RIGHT - MALE","159.0000","31.2500","165.0000","38.0000"
"Ragnd","0402WGF0000TCE","TopLayer","R_0402","132.8000","60.8000","90","R - RESISTOR - SMD - 0R - 1% - 0402","132.8000","60.8000","132.8000","60.2920"
"C12v12","CL05A105KA5NQNC","TopLayer","C_0402","167.1000","71.7000","270","C - CAPACITOR - MLCC - 1uF - 25V - 0402","167.1000","71.7000","167.1000","72.2080"
"C12v11","CL05A105KA5NQNC","TopLayer","C_0402","166.0000","71.7000","270","C - CAPACITOR - MLCC - 1uF - 25V - 0402","166.0000","71.7000","166.0000","72.2080"
"C12v10","CL05A105KA5NQNC","TopLayer","C_0402","164.9000","71.7000","270","C - CAPACITOR - MLCC - 1uF - 25V - 0402","164.9000","71.7000","164.9000","72.2080"
"C12v9","CL05A105KA5NQNC","TopLayer","C_0402","163.8000","71.7000","270","C - CAPACITOR - MLCC - 1uF - 25V - 0402","163.8000","71.7000","163.8000","72.2080"
