Designator   ,Mid X,Mid Y,Layer,Rotation,Value,Footprint
C1,25,10.1,TOP,0,22uF,C1206
C3,21,11.5,TOP,90,22uF,C1206
CF4,17.98,17.4,TOP,90,47nF,C0603
CF5,19.9,17.4,TOP,90,47nF,C0603
CF6,14.06,17.4,TOP,90,47nF,C0603
D12IN,30,5.5,TOP,270,,SMADIODE
L_12V,25.5,24,TOP,90,,CHIPLED_1206
L_EFUSE,12.5,24,TOP,90,,CHIPLED_1206
QP3,14,12,TOP,270,PFET-(SOT-23-3)(TO-236-3)(SC-59),"SOT23,SC-59,TO-236-3"
RE1,6,28.5,TOP,180,10k,R0603
RE2,6,31,TOP,180,10k,R0603
RE3,2.5,31,TOP,180,20k,R0603
RE4,2.5,28.5,TOP,180,20k,R0603
RGS2,11,12,TOP,90,10k,R0603
RLD3,25.1,8,TOP,0,1k,R1206
RLD5,18,24,TOP,0,1k,R1206
RPU1,12.04,17.4,TOP,270,10k,R0603
RPU2,16.02,17.4,TOP,270,10k,R0603
R_ILIM,17,12,TOP,270,8,R1206
SJ1,9.5,19,TOP,90,,SJ
